[CURRENT] Sales Transaction Export,,,,,,,,
Oliveseed Foundation,,,,,,,,
"January, 2023-December, 2030",,,,,,,,

Donor,Transaction date,Num,Product/Service full name,Amount,REF #,Line created by,Line created date,Item class
Donor 1772,11/21/2023,9205,Name 1112,44.11,1K165542BM4188224,Jim Mackraz,08/10/2024 09:22:51 PM,OliveSeed Fdn - Operations
Donor 1773,11/23/2023,9092,Name 1113,50.60,36459378,Stephanie Gray,12/20/2023 05:07:10 PM,OliveSeed Fdn - Operations
Donor 1774,11/25/2023,9081,Name 1114,"1,000.00",0009643432,Barb Mackraz,11/25/2023 09:42:34 AM,OliveSeed Fdn - Operations
Donor 1775,11/28/2023,9082,Name 1115,57.00,1521,Barb Mackraz,11/28/2023 08:39:40 PM,OliveSeed Fdn - Operations
Donor 1776,11/28/2023,9083,Name 1116,42.00,644,Barb Mackraz,11/28/2023 08:42:35 PM,OliveSeed Fdn - Operations
Donor 1777,11/28/2023,9093,Name 1117,47.63,36639407,Stephanie Gray,12/20/2023 05:10:57 PM,OliveSeed Fdn - Operations
Donor 1778,11/28/2023,9094,Name 1118,99.99,36642090,Stephanie Gray,12/20/2023 05:14:24 PM,OliveSeed Fdn - Operations
Donor 1779,11/28/2023,9095,Name 1119,191.80,36649620,Stephanie Gray,12/20/2023 05:20:23 PM,OliveSeed Fdn - Operations
Donor 1780,11/28/2023,9096,Name 1120,99.99,36653584,Stephanie Gray,12/20/2023 05:24:33 PM,OliveSeed Fdn - Operations
Donor 1781,11/29/2023,9097,Name 1121,98.94,36703362,Stephanie Gray,12/20/2023 05:27:09 PM,OliveSeed Fdn - Operations
Donor 1782,11/29/2023,9098,Name 1122,95.75,36711768,Stephanie Gray,12/20/2023 05:32:42 PM,OliveSeed Fdn - Operations
Donor 1783,11/29/2023,9134,Name 1123,888.75,52WNAALMXF,Stephanie Gray,02/12/2024 08:28:14 PM,OliveSeed Fdn - Operations
Donor 1784,12/07/2023,9084,Name 1124,"2,000.00",149,Barb Mackraz,12/07/2023 05:14:03 PM,MLP
Donor 1785,12/07/2023,9085,Name 1125,50.00,0009745311,Barb Mackraz,12/07/2023 05:16:46 PM,OliveSeed Fdn - Operations
Donor 1786,12/07/2023,9099,Name 1126,39.77,36979393,Stephanie Gray,12/20/2023 05:35:48 PM,OliveSeed Fdn - Operations
Donor 1787,12/08/2023,9086,Name 1127,25.00,1694,Barb Mackraz,12/08/2023 11:18:49 AM,OliveSeed Fdn - Operations
Donor 1788,12/10/2023,9100,Name 1128,9.20,37077459,Stephanie Gray,12/20/2023 05:39:04 PM,School Projects
Donor 1789,12/13/2023,9101,Name 1129,"2,000.00",37190646,Stephanie Gray,12/20/2023 04:00:00 PM,Scholars
Donor 1790,12/16/2023,9102,Name 1130,4.89,37266256,Stephanie Gray,12/20/2023 05:44:27 PM,OliveSeed Fdn - Operations
Donor 1791,12/16/2023,9103,Name 1131,47.72,37286436,Stephanie Gray,12/20/2023 05:48:46 PM,OliveSeed Fdn - Operations
Donor 1792,12/17/2023,9087,Name 1132,"1,100.00",,Barb Mackraz,12/17/2023 04:00:00 PM,Scholars
Donor 1793,12/18/2023,9104,Name 1133,143.78,37341541,Stephanie Gray,12/20/2023 05:50:45 PM,OliveSeed Fdn - Operations
Donor 1794,12/18/2023,9201,Name 1134,50.00,580,Barb Mackraz,08/10/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1795,12/20/2023,9088,Name 1135,"3,222.45",,Barb Mackraz,12/19/2023 04:00:00 PM,KCA
Donor 1796,12/20/2023,9088,Name 1136,350.00,,Barb Mackraz,12/19/2023 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1797,12/20/2023,9206,Name 1137,"1,100.00",,Barb Mackraz,08/10/2024 05:00:00 PM,Scholars
Donor 1798,12/21/2023,9105,Name 1138,500.00,,Barb Mackraz,12/21/2023 04:00:00 PM,Scholars
Donor 1799,12/21/2023,9106,Name 1139,800.00,,Barb Mackraz,12/21/2023 06:03:11 PM,MLP
Donor 1800,12/21/2023,9106,Name 1140,800.00,,Barb Mackraz,12/21/2023 06:03:11 PM,Women's Work Center
Donor 1801,12/21/2023,9107,Name 1141,500.00,,Barb Mackraz,12/21/2023 06:08:24 PM,OliveSeed Fdn - Operations
Donor 1802,12/21/2023,9108,Name 1142,"1,100.00",,Barb Mackraz,12/21/2023 04:00:00 PM,Scholars
Donor 1803,12/21/2023,9108,Name 1143,550.00,,Barb Mackraz,12/21/2023 04:00:00 PM,Writing and Publishing
Donor 1804,12/21/2023,9204,Name 1144,481.62,2H41986052038690V,Jim Mackraz,08/10/2024 09:19:46 PM,OliveSeed Fdn - Operations
Donor 1805,12/23/2023,9113,Name 1145,50.60,37508196,Stephanie Gray,01/07/2024 09:41:54 AM,OliveSeed Fdn - Operations
Donor 1806,12/26/2023,9114,Name 1146,114.96,37605151,Stephanie Gray,01/07/2024 09:44:11 AM,OliveSeed Fdn - Operations
Donor 1807,12/27/2023,9109,Name 1147,"2,200.00",,Barb Mackraz,12/27/2023 04:00:00 PM,Scholars
Donor 1808,12/27/2023,9115,Name 1148,95.77,37633489,Stephanie Gray,01/07/2024 09:49:11 AM,MLP
Donor 1809,12/28/2023,9116,Name 1149,200.00,37677558,Stephanie Gray,01/07/2024 09:51:09 AM,OliveSeed Fdn - Operations
Donor 1810,12/31/2023,9117,Name 1150,150.00,37807837,Stephanie Gray,01/07/2024 09:53:29 AM,OliveSeed Fdn - Operations
Donor 1811,12/31/2023,9118,Name 1151,500.00,37808122,Stephanie Gray,01/07/2024 09:58:03 AM,OliveSeed Fdn - Operations
Donor 1812,12/31/2023,9119,Name 1152,18.76,37814594,Stephanie Gray,01/07/2024 10:01:29 AM,OliveSeed Fdn - Operations
Donor 1813,12/31/2023,9135,Name 1153,300.00,56VH9HHT7K,Stephanie Gray,02/12/2024 08:35:07 PM,MLP
Donor 1814,01/03/2024,9110,Name 1154,"1,100.00",355,Barb Mackraz,01/02/2024 04:00:00 PM,Scholars
Donor 1815,01/03/2024,9111,Name 1155,"1,100.00",,Barb Mackraz,01/02/2024 04:00:00 PM,Scholars
Donor 1816,01/04/2024,9112,Name 1156,"1,100.00",,Barb Mackraz,01/03/2024 04:00:00 PM,Scholars
Donor 1817,01/07/2024,9120,Name 1157,150.00,1192,Barb Mackraz,01/07/2024 08:24:18 PM,OliveSeed Fdn - Operations
Donor 1818,01/07/2024,9123,Name 1158,39.77,37990570,Stephanie Gray,02/11/2024 07:26:44 AM,OliveSeed Fdn - Operations
Donor 1819,01/10/2024,9124,Name 1159,9.20,38065954,Stephanie Gray,02/10/2024 04:00:00 PM,School Projects
Donor 1820,01/16/2024,9125,Name 1160,4.89,38203903,Stephanie Gray,02/11/2024 07:32:53 AM,OliveSeed Fdn - Operations
Donor 1821,01/18/2024,9126,Name 1161,143.78,38268847,Stephanie Gray,02/11/2024 07:34:48 AM,OliveSeed Fdn - Operations
Donor 1822,01/19/2024,9121,Name 1162,"3,000.00",682,Barb Mackraz,01/19/2024 04:21:55 PM,OSK Ops
Donor 1823,01/19/2024,9122,Name 1163,"2,000.00",1405,Barb Mackraz,01/19/2024 04:22:55 PM,OliveSeed Fdn - Operations
Donor 1824,01/23/2024,9127,Name 1164,50.60,38391704,Stephanie Gray,02/11/2024 07:37:59 AM,OliveSeed Fdn - Operations
Donor 1825,02/03/2024,9128,Name 1165,99.99,38717222,Stephanie Gray,02/11/2024 07:42:29 AM,OliveSeed Fdn - Operations
Donor 1826,02/05/2024,9129,Name 1166,300.00,38767401,Stephanie Gray,02/11/2024 07:44:19 AM,OliveSeed Fdn - Operations
Donor 1827,02/07/2024,9130,Name 1167,39.77,38811051,Stephanie Gray,02/11/2024 07:46:13 AM,OliveSeed Fdn - Operations
Donor 1828,02/12/2024,9136,Name 1168,500.00,1188,Barb Mackraz,02/12/2024 10:05:07 PM,OliveSeed Fdn - Operations
Donor 1829,02/14/2024,9139,Name 1169,47.37,38998612,Stephanie Gray,03/17/2024 11:32:03 AM,OliveSeed Fdn - Operations
Donor 1830,02/16/2024,9140,Name 1170,4.89,39031692,Stephanie Gray,03/17/2024 11:35:24 AM,OliveSeed Fdn - Operations
Donor 1831,02/18/2024,9141,Name 1171,143.78,39096738,Stephanie Gray,03/17/2024 11:37:21 AM,OliveSeed Fdn - Operations
Donor 1832,02/22/2024,9142,Name 1172,50.00,39205424,Stephanie Gray,03/17/2024 11:40:40 AM,OliveSeed Fdn - Operations
Donor 1833,02/23/2024,9143,Name 1173,50.60,39223536,Stephanie Gray,03/17/2024 11:42:23 AM,OliveSeed Fdn - Operations
Donor 1834,03/05/2024,9144,Name 1174,300.00,39576267,Stephanie Gray,03/17/2024 11:44:43 AM,OliveSeed Fdn - Operations
Donor 1835,03/07/2024,9145,Name 1175,39.77,39629001,Stephanie Gray,03/17/2024 11:46:26 AM,OliveSeed Fdn - Operations
Donor 1836,03/08/2024,9137,Name 1176,800.00,74086,Barb Mackraz,03/07/2024 04:00:00 PM,Writing and Publishing
Donor 1837,03/08/2024,9137,Name 1177,800.00,74086,Barb Mackraz,03/07/2024 04:00:00 PM,Writing and Publishing (K)
Donor 1838,03/16/2024,9138,Name 1178,500.00,168336,Barb Mackraz,03/16/2024 10:09:37 AM,OliveSeed Fdn - Operations
Donor 1839,03/16/2024,9146,Name 1179,4.89,39891800,Stephanie Gray,03/17/2024 11:48:05 AM,OliveSeed Fdn - Operations
Donor 1840,03/18/2024,9151,Name 1180,143.78,39953723,Stephanie Gray,04/21/2024 03:55:12 PM,OliveSeed Fdn - Operations
Donor 1841,03/20/2024,9147,Name 1181,"1,000.00",1146,Barb Mackraz,03/20/2024 05:06:00 PM,OliveSeed Fdn - Operations
Donor 1842,03/23/2024,9152,Name 1182,50.60,40100379,Stephanie Gray,04/21/2024 03:59:06 PM,OliveSeed Fdn - Operations
Donor 1843,03/23/2024,9153,Name 1183,50.00,40107600,Stephanie Gray,04/21/2024 04:01:44 PM,OliveSeed Fdn - Operations
Donor 1844,03/25/2024,9148,Name 1184,500.00,12461,Barb Mackraz,03/25/2024 06:40:25 PM,OliveSeed Fdn - Operations
Donor 1845,04/05/2024,9154,Name 1185,300.00,40503246,Stephanie Gray,04/21/2024 04:04:26 PM,OliveSeed Fdn - Operations
Donor 1846,04/07/2024,9155,Name 1186,39.77,40573125,Stephanie Gray,04/21/2024 04:07:34 PM,OliveSeed Fdn - Operations
Donor 1847,04/16/2024,9156,Name 1187,4.89,40830495,Stephanie Gray,04/21/2024 04:10:59 PM,OliveSeed Fdn - Operations
Donor 1848,04/18/2024,9149,Name 1188,750.00,1043,Barb Mackraz,04/18/2024 06:25:06 PM,OliveSeed Fdn - Operations
Donor 1849,04/18/2024,9157,Name 1189,143.78,40900977,Stephanie Gray,04/21/2024 04:12:52 PM,OliveSeed Fdn - Operations
Donor 1850,04/19/2024,9150,Name 1190,"3,300.00",74421,Barb Mackraz,04/18/2024 05:00:00 PM,Writing and Publishing
Donor 1851,04/19/2024,9150,Name 1191,"3,300.00",74421,Barb Mackraz,04/18/2024 05:00:00 PM,Writing and Publishing (K)
Donor 1852,04/21/2024,9161,Name 1192,23.71,40988329,Stephanie Gray,05/04/2024 10:19:28 AM,OliveSeed Fdn - Operations
Donor 1853,04/21/2024,9162,Name 1193,95.75,40988403,Stephanie Gray,05/04/2024 10:21:34 AM,OliveSeed Fdn - Operations
Donor 1854,04/23/2024,9163,Name 1194,50.60,41035355,Stephanie Gray,05/03/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1855,04/26/2024,9158,Name 1195,"40,000.00",0001262067,Barb Mackraz,04/25/2024 05:00:00 PM,Other Water
Donor 1856,04/26/2024,9159,Name 1196,"41,000.00",,Barb Mackraz,04/25/2024 05:00:00 PM,Other Water
Donor 1857,04/26/2024,9160,Name 1197,"1,691.00",2965,Barb Mackraz,04/25/2024 05:00:00 PM,Writing and Publishing
Donor 1858,04/27/2024,9164,Name 1198,143.78,41160265,Stephanie Gray,05/04/2024 10:24:11 AM,OliveSeed Fdn - Operations
Donor 1859,04/30/2024,9165,Name 1199,143.78,41255254,Stephanie Gray,05/04/2024 10:25:25 AM,OliveSeed Fdn - Operations
Donor 1860,05/02/2024,9202,Name 1200,10.00,5GPMMR68Z7,Jim Mackraz,08/10/2024 08:21:10 PM,School Projects
Donor 1861,05/06/2024,9170,Name 1201,479.95,41456067,Stephanie Gray,06/16/2024 10:43:32 AM,OliveSeed Fdn - Operations
Donor 1862,05/07/2024,9171,Name 1202,39.77,41471626,Stephanie Gray,06/16/2024 10:45:46 AM,OliveSeed Fdn - Operations
Donor 1863,05/12/2024,9225,Name 1203,"2,000.00",,Barb Mackraz,09/14/2024 03:12:34 PM,OSK Ops
Donor 1864,05/14/2024,9203,Name 1204,753.07,2H41986052038690V,Jim Mackraz,08/10/2024 09:18:23 PM,Women's Work Center
Donor 1865,05/16/2024,9172,Name 1205,4.89,41744276,Stephanie Gray,06/16/2024 10:47:16 AM,OliveSeed Fdn - Operations
Donor 1866,05/18/2024,9173,Name 1206,143.78,41821448,Stephanie Gray,06/16/2024 10:48:56 AM,OliveSeed Fdn - Operations
Donor 1867,05/23/2024,9174,Name 1207,50.60,41979622,Stephanie Gray,06/16/2024 10:50:45 AM,OliveSeed Fdn - Operations
Donor 1868,05/25/2024,9166,Name 1208,"1,784.09",,Barb Mackraz,05/24/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1869,05/25/2024,9167,Name 1209,911.00,2558,Barb Mackraz,05/24/2024 05:00:00 PM,Writing and Publishing
Donor 1870,05/30/2024,9175,Name 1210,143.78,42230559,Stephanie Gray,06/16/2024 10:52:12 AM,OliveSeed Fdn - Operations
Donor 1871,06/07/2024,9176,Name 1211,39.77,42487325,Stephanie Gray,06/16/2024 10:53:30 AM,OliveSeed Fdn - Operations
Donor 1872,06/11/2024,9168,Name 1212,49.00,1909,Barb Mackraz,06/11/2024 02:35:15 PM,Community Libraries
Donor 1873,06/15/2024,9169,Name 1213,"2,000.00",4030359360,Barb Mackraz,06/15/2024 04:42:31 PM,OliveSeed Fdn - Operations
Donor 1874,06/16/2024,9178,Name 1214,4.89,42759236,Jim Mackraz,07/19/2024 03:56:04 PM,OliveSeed Fdn - Operations
Donor 1875,06/18/2024,9179,Name 1215,143.78,42822251,Jim Mackraz,07/19/2024 03:57:33 PM,OliveSeed Fdn - Operations
Donor 1876,06/23/2024,9180,Name 1216,50.60,42984140,Jim Mackraz,07/19/2024 03:58:58 PM,OliveSeed Fdn - Operations
Donor 1877,06/23/2024,9181,Name 1217,47.72,42989525,Jim Mackraz,07/19/2024 04:00:04 PM,OliveSeed Fdn - Operations
Donor 1878,06/27/2024,9177,Name 1218,"10,000.00",1387537,Barb Mackraz,06/27/2024 05:00:00 PM,School Projects
Donor 1879,06/27/2024,9182,Name 1219,99.99,43105663,Jim Mackraz,07/19/2024 04:01:17 PM,OliveSeed Fdn - Operations
Donor 1880,06/27/2024,9184,Name 1220,11.23,43513131,Jim Mackraz,07/19/2024 04:07:29 PM,Women's Work Center
Donor 1881,06/30/2024,9200,Name 1221,143.78,,Barb Mackraz,08/10/2024 05:57:25 PM,OliveSeed Fdn - Operations
Donor 1882,07/07/2024,9183,Name 1222,39.77,43458480,Jim Mackraz,07/18/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1883,07/08/2024,9185,Name 1223,24.00,1093,Jim Mackraz,07/19/2024 04:10:22 PM,Women's Work Center
Donor 1884,07/09/2024,9186,Name 1224,99.99,95370,Jim Mackraz,07/19/2024 04:12:19 PM,Women's Work Center
Donor 1885,07/10/2024,9187,Name 1225,192.03,43580907,Jim Mackraz,07/19/2024 04:14:17 PM,Women's Work Center
Donor 1886,07/10/2024,9188,Name 1226,4.89,43742754,Jim Mackraz,07/18/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1887,07/12/2024,9198,Name 1227,"6,000.00",,Barb Mackraz,08/10/2024 12:38:04 PM,Women's Work Center
Donor 1888,07/12/2024,9198,Name 1228,"5,000.00",,Barb Mackraz,08/10/2024 12:38:04 PM,School Projects
Donor 1889,07/12/2024,9198,Name 1229,250.00,,Barb Mackraz,08/10/2024 12:38:04 PM,Women's Work Center
Donor 1890,07/12/2024,9198,Name 1230,300.00,,Barb Mackraz,08/10/2024 12:38:04 PM,Community Libraries
Donor 1891,07/12/2024,9198,Name 1231,450.00,,Barb Mackraz,08/10/2024 12:38:04 PM,OliveSeed Fdn - Operations
Donor 1892,07/12/2024,9199,Name 1232,"1,000.00",131,Barb Mackraz,08/10/2024 05:46:28 PM,OliveSeed Fdn - Operations
Donor 1893,07/15/2024,9197,Name 1233,"1,040.00",,Barb Mackraz,08/08/2024 05:00:00 PM,Scholars
Donor 1894,07/18/2024,9189,Name 1234,143.78,43810405,Jim Mackraz,07/18/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1895,07/18/2024,9191,Name 1235,500.00,271,Barb Mackraz,07/27/2024 02:22:58 PM,OliveSeed Fdn - Operations
Donor 1896,07/22/2024,9193,Name 1236,"1,000.00",14663129,Barb Mackraz,07/29/2024 02:48:55 PM,OliveSeed Fdn - Operations
Donor 1897,07/22/2024,9196,Name 1237,"2,500.00",78002,Barb Mackraz,08/06/2024 01:25:22 PM,School Projects
Donor 1898,07/23/2024,9212,Name 1238,50.60,ch_3PflcGLpAglNISLQ0f,Jim Mackraz,09/14/2024 11:52:39 AM,OliveSeed Fdn - Operations
Donor 1899,07/24/2024,9194,Name 1239,"1,200.00",,Barb Mackraz,08/05/2024 05:00:00 PM,Scholars
Donor 1900,07/26/2024,9190,Name 1240,500.00,2975,Barb Mackraz,07/26/2024 05:00:00 PM,Writing and Publishing
Donor 1901,07/29/2024,9192,Name 1241,"1,100.00",365,Barb Mackraz,07/29/2024 11:23:09 AM,Scholars
Donor 1902,07/30/2024,9213,Name 1242,143.78,07/23/2024,Jim Mackraz,09/14/2024 11:54:02 AM,OliveSeed Fdn - Operations
Donor 1903,08/03/2024,9214,Name 1243,120.00,ch_3PjveVLpAglNISLQ0B,Jim Mackraz,09/14/2024 11:56:38 AM,Women's Work Center
Donor 1904,08/03/2024,9215,Name 1244,143.99,ch_3PjvgwLpAglNISLQ0J,Jim Mackraz,09/13/2024 05:00:00 PM,Women's Work Center
Donor 1905,08/05/2024,9207,Name 1245,500.00,14697317,Barb Mackraz,08/12/2024 09:47:40 PM,OliveSeed Fdn - Operations
Donor 1906,08/06/2024,9195,Name 1246,714.00,,Barb Mackraz,08/06/2024 01:22:39 PM,Women's Work Center
Donor 1907,08/14/2024,9216,Name 1247,120.00,ch_3PniYILpAglNISLQ1n,Jim Mackraz,09/13/2024 05:00:00 PM,Women's Work Center
Donor 1908,08/16/2024,9209,Name 1248,250.00,14725098,Barb Mackraz,08/26/2024 04:26:05 PM,OliveSeed Fdn - Operations
Donor 1909,08/16/2024,9217,Name 1249,4.89,44638582,Jim Mackraz,09/14/2024 12:11:12 PM,OliveSeed Fdn - Operations
Donor 1910,08/17/2024,9218,Name 1250,95.75,kpeddle@hotmail.com,Jim Mackraz,09/13/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1911,08/18/2024,9219,Name 1251,143.78,kpeddle@hotmail.com,Jim Mackraz,09/14/2024 12:15:14 PM,OliveSeed Fdn - Operations
Donor 1912,08/18/2024,9220,Name 1252,"1,000.00",ch_3PpBfOLpAglNISLQ0L,Jim Mackraz,09/14/2024 12:16:19 PM,Women's Work Center
Donor 1913,08/20/2024,9208,Name 1253,525.00,,Barb Mackraz,08/20/2024 07:50:38 AM,Writing and Publishing (K)
Donor 1914,08/21/2024,,Name 1254,120.00,ch_3PqKP2LpAglNISLQ1M,Jim Mackraz,09/14/2024 02:48:24 PM,Women's Work Center
Donor 1915,08/22/2024,9221,Name 1255,239.82,ch_3PqesrLpAglNISLQ1T,Jim Mackraz,09/14/2024 12:18:22 PM,OliveSeed Fdn - Operations
Donor 1916,08/23/2024,9222,Name 1256,50.60,ch_3Pr0OoLpAglNISLQ0F,Jim Mackraz,09/14/2024 12:19:26 PM,OliveSeed Fdn - Operations
Donor 1917,08/30/2024,9223,Name 1257,143.78,ch_3PtXqNLpAglNISLQ0m,Jim Mackraz,09/14/2024 12:21:38 PM,OliveSeed Fdn - Operations
Donor 1918,08/31/2024,9210,Name 1258,150.00,344,Barb Mackraz,09/05/2024 05:50:32 PM,OliveSeed Fdn - Operations
Donor 1919,09/07/2024,9224,Name 1259,11.06,mwojuok@gmail.com,Jim Mackraz,09/14/2024 12:24:49 PM,OliveSeed Fdn - Operations
Donor 1920,09/08/2024,9211,Name 1260,237.20,,Barb Mackraz,09/07/2024 05:00:00 PM,Kenya Region
Donor 1921,09/11/2024,9226,Name 1261,"6,000.00",14787904,Jim Mackraz,09/19/2024 02:13:00 PM,OliveSeed Fdn - Operations
Donor 1922,09/11/2024,9243,Name 1262,156.48,,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1923,09/16/2024,9242,Name 1263,4.89,45545433,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1924,09/17/2024,ch,Name 1264,"3,000.00",995207,Jim Mackraz,09/19/2024 02:15:00 PM,Community Libraries
Donor 1925,09/18/2024,9239,Name 1265,143.78,45608188,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1926,09/21/2024,9228,Name 1266,50.00,1884,Barb Mackraz,10/07/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1927,09/21/2024,9229,Name 1267,25.00,3377,Barb Mackraz,10/07/2024 05:00:00 PM,OliveSeed Fdn - Operations
Donor 1928,09/23/2024,9244,Name 1268,47.63,45766747,Barb Mackraz,11/12/2024 04:00:00 PM,Women's Work Center
Donor 1929,09/23/2024,9382,Name 1269,50.60,45753538,Barb Mackraz,06/11/2025 04:46:29 PM,OliveSeed Fdn - Operations
Donor 1930,09/24/2024,9453,Name 1270,14.72,,Peter Lee,07/01/2025 03:04:46 PM,OliveSeed Fdn - Operations
Donor 1931,09/30/2024,9238,Name 1271,143.78,46006943,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1932,09/30/2024,9396,Name 1272,120.00,5U64HUNQ0R,Barb Mackraz,06/11/2025 05:45:10 PM,School Projects
Donor 1933,09/30/2024,9396,Name 1273,120.00,5U64HUNQ0R,Barb Mackraz,06/11/2025 05:45:10 PM,School Projects
Donor 1934,10/02/2024,9227,Name 1274,"2,500.00",75540,Barb Mackraz,10/08/2024 02:50:23 AM,Writing and Publishing (K)
Donor 1935,10/11/2024,9383,Name 1275,150.00,46399609,Barb Mackraz,06/11/2025 04:49:56 PM,OliveSeed Fdn - Operations
Donor 1936,10/16/2024,9241,Name 1276,4.89,46522430,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1937,10/16/2024,9387,Name 1277,180.00,5VJW6V0M21,Barb Mackraz,06/11/2025 05:22:12 PM,OliveSeed Fdn - Operations
Donor 1938,10/16/2024,9397,Name 1278,"19,000.00",9200502235,Barb Mackraz,06/12/2025 09:55:03 PM,Clean Water Project
Donor 1939,10/16/2024,9398,Name 1279,"2,000.00",18355,Barb Mackraz,06/12/2025 09:59:18 PM,Women's Work Center
Donor 1940,10/18/2024,9237,Name 1280,143.78,46592936,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1941,10/18/2024,9399,Name 1281,80.00,8590,Barb Mackraz,06/12/2025 10:02:25 PM,OliveSeed Fdn - Operations
Donor 1942,10/23/2024,9240,Name 1282,50.60,46742101,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1943,10/30/2024,9236,Name 1283,143.78,46985881,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1944,11/06/2024,9232,Name 1284,120.00,6083,Barb Mackraz,11/10/2024 05:55:23 PM,Women's Work Center
Donor 1945,11/08/2024,9447,Name 1285,4.77,,Jim Mackraz,06/26/2025 03:36:24 PM,OliveSeed Fdn - Operations
Donor 1946,11/09/2024,9233,Name 1286,100.00,1001,Barb Mackraz,11/10/2024 05:57:22 PM,OliveSeed Fdn - Operations
Donor 1947,11/09/2024,9235,Name 1287,191.80,47315152,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1948,11/10/2024,9451,Name 1288,458.13,,Jim Mackraz,07/01/2025 02:45:33 PM,OliveSeed Fdn - Operations
Donor 1949,11/11/2024,9234,Name 1289,95.75,47373019,Barb Mackraz,11/12/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1950,11/11/2024,9388,Name 1290,10.27,5YEUXUMH4V,Barb Mackraz,06/11/2025 05:00:00 PM,MLP
Donor 1951,11/12/2024,9246,Name 1291,"1,000.00",151,Barb Mackraz,11/17/2024 08:55:37 PM,OliveSeed Fdn - Operations
Donor 1952,11/13/2024,9245,Name 1292,"5,000.00",1671,Barb Mackraz,11/17/2024 08:53:26 PM,School Projects
Donor 1953,11/14/2024,9247,Name 1293,500.00,00021148928,Barb Mackraz,11/18/2024 03:31:18 PM,OliveSeed Fdn - Operations
Donor 1954,11/16/2024,9249,Name 1294,900.00,898,Barb Mackraz,11/21/2024 10:26:41 AM,School Projects
Donor 1955,11/16/2024,9249,Name 1295,100.00,898,Barb Mackraz,11/21/2024 10:26:41 AM,OliveSeed Fdn - Operations
Donor 1956,11/16/2024,9250,Name 1296,900.00,3105,Barb Mackraz,11/21/2024 10:30:00 AM,School Projects
Donor 1957,11/16/2024,9250,Name 1297,100.00,3105,Barb Mackraz,11/21/2024 10:30:00 AM,OliveSeed Fdn - Operations
Donor 1958,11/18/2024,9248,Name 1298,"1,000.00",240-923056-46379,Barb Mackraz,11/17/2024 04:00:00 PM,Women's Work Center
Donor 1959,11/18/2024,9264,Name 1299,143.78,47618935,Barb Mackraz,11/29/2024 04:00:00 PM,OliveSeed Fdn - Operations
Donor 1960,11/19/2024,9253,Name 1300,"2,000.00",2372,Barb Mackraz,11/25/2024 06:10:27 PM,School Projects
Donor 1961,11/21/2024,9251,Name 1301,"1,800.00",,Barb Mackraz,11/21/2024 09:40:36 PM,Clean Water Project
Donor 1962,11/21/2024,9251,Name 1302,200.00,,Barb Mackraz,11/21/2024 09:40:36 PM,OliveSeed Fdn - Operations
Donor 1963,11/21/2024,9259,Name 1303,450.00,360,Barb Mackraz,11/30/2024 12:54:22 PM,School Projects
Donor 1964,11/21/2024,9259,Name 1304,50.00,360,Barb Mackraz,11/30/2024 12:54:22 PM,OliveSeed Fdn - Operations
Donor 1965,11/21/2024,9260,Name 1305,450.00,112,Barb Mackraz,11/30/2024 12:57:27 PM,School Projects
Donor 1966,11/21/2024,9260,Name 1306,50.00,112,Barb Mackraz,11/30/2024 12:57:27 PM,OliveSeed Fdn - Operations
Donor 1967,11/21/2024,9452,Name 1307,"8,400.85",,Peter Lee,07/01/2025 03:01:25 PM,OliveSeed Fdn - Operations
Donor 1968,11/23/2024,9255,Name 1308,"1,800.00",170,Barb Mackraz,11/30/2024 12:44:07 PM,Writing and Publishing
Donor 1969,11/23/2024,9255,Name 1309,200.00,170,Barb Mackraz,11/30/2024 12:44:07 PM,OliveSeed Fdn - Operations
Donor 1970,11/23/2024,9258,Name 1310,900.00,155,Barb Mackraz,11/30/2024 12:51:18 PM,School Projects
Donor 1971,11/23/2024,9258,Name 1311,100.00,155,Barb Mackraz,11/30/2024 12:51:18 PM,OliveSeed Fdn - Operations
Donor 1972,11/23/2024,9263,Name 1312,50.60,47789353,Barb Mackraz,11/29/2024 04:00:00 PM,OliveSeed Fdn - Operations
